EP-0461064-A1	19911211	Vorrichtung zum Einrichten und Spannen von Werkstücken.	AIRBUS GMBH	BRUNS WERNER,EICKHORST HELMUT,WILKEN ENNO
EP-1473450-A1	20041103	Kraftfahrzeugantriebsstrang mit einer Abgasnutzturbine und einer hydrodynamischer Kupplung	VOITH TURBO KG	KLEY MARKUS,HOELLER HEINZ W
EP-0942901-A1	19990922	CYCLISCHE IMINE ALS PESTIZIDE	BAYER AG	TURBERG ANDREAS,KLEEFELD GERD,POETTER THORSTEN,ERDELEN CHRISTOPH,PLANT ANDREW,MENCKE NORBERT,WACHENDORFF-NEUMANN ULRIKE
EP-1410963-A1	20040421	Vorrichtung zum Sperren der Lenkspindel eines Kraftfahrzeugs	HUF HUELSBECK & FUERST GMBH	ZILLMANN HORST
EP-0464661-A1	19920108	Biologische Abgasreinigungsanlage, insbesondere Abluftreinigungsanlage.	HEBEL ALZENAU GMBH & CO	BOTHE HANS-GUENTHER DR
EP-1917670-A1	20080507	KONTAKTANORDNUNG MIT EINEM BEGRENZUNGSELEMENT, DAS DIE AUSLENKUNG DES BEWEGBAREN KONTAKTSTÜCKS BEGRENZT	SIEMENS AG	STENZEL PETER
EP-0975288-A1	20000202	TELESKOPIERENDE WIRBELPROTHESE	SYNTHES AG	HATEBUR ALEX,SCHLAEPFER FRIDOLIN,SCHAER MANUEL
EP-0637722-A1	19950208	Verfahren zur Temperaturregelung von Räumen in Gebäuden und Einrichtung zur Durchführung des Verfahrens.	SCHMITZ JOHANNES	SCHMITZ-STOTZ PATRICIA DIPL-IN,SCHMITZ JOHANNES DR-ING
EP-1392599-A1	20040303	VERFAHREN ZUR HERSTELLUNG EINER IM WESENTLICHEN CHLORITFREIEN, STABILEN WÄSSRIGEN CHLORSAUERSTOFFLÖSUNG, DIE MIT DEM VERFAHREN ERHÄLTLICHE CHLORSAUERSTOFFLÖSUNG SOWIE DEREN VERWENDUNG	P & W INVEST VERMOEGENSVERWALT	POLAK WALTER
EP-1207046-A1	20020522	Thermotransfersystem mit Übertragungsindikator	STAR COATING AG	DIETRICH JAN,KUMMER PETER,STIBUREK ILONA
EP-0379650-A1	19900801	Lichtwellenleiter-Sensor für kleine Zug- oder Druckkräfte.	FELTEN & GUILLEAUME ENERGIE	LESSING RAINER DR
EP-1834972-A1	20070919	Herstellung lagerstabiler, isocyanat-funktioneller Prepolymere unter Verwendung NCO-funktioneller Carbonsäure- und Carbamoylhalogenide	BAYER MATERIALSCIENCE AG	HOFACKER STEFFEN DR,KOEHLER BURKHARD DR
EP-1089237-A1	20010404	Verfahren und Anordnung zum Betreiben von Lesegeraeten fuer Chipkarten fuer den oeffentlichen Nahverkehr	SIEMENS AG	RETKA MANFRED
EP-1567418-A1	20050831	WICKEL AUS EINEM VORSPRÜNGE AUFWEISENDEN METALLSTRANG	POLY CLIP SYSTEM GMBH & CO KG	SCHLEUCHER HEIKO
EP-1794206-A1	20070613	HYDROLYSESTABILE BESCHICHTUNGSMITTELZUSAMMENSETZUNG	BAYER MATERIALSCIENCE AG	KUREK GERALD,MEIXNER JUERGEN,KLIPPERT UWE,POHL TORSTEN,RISCHE THORSTEN,FELLER THOMAS
EP-0426886-A1	19910515	Betriebsverfahren und Vorrichtung zur Übergabe einerseits von Einzelspulen oder Spulengruppen von einer Spulmaschine oder einer Fach- oder Spinnmaschine an eine Spulentransporteinrichtung und andererseits von leeren Spulenhülsen von der Transporteinrichtung an die Spulmaschine oder die Fach- oder Spinnmaschine.	PALITEX PROJECT CO GMBH	INGER SIEGFRIED DIPL-ING,LEUPERS WOLFGANG DIPL-ING
EP-0571330-A1	19931124	Hochauflösender I-Linien Photoresist mit höhere Empfindlichkeit.	CIBA GEIGY AG	MUENZEL NORBERT,ILG STEPHAN,SCHULZ REINHARD,HOLZWARTH HEINZ
EP-0689559-A1	19960103	EPOXIDHARZMISCHUNGEN	HOECHST AG	KLEINER HANS-JERG,ROGLER WOLFGANG,HUBER JUERGEN,VON GENTZKOW WOLFGANG,KAPITZA HEINRICH
EP-1022004-A1	20000726	Vorrichtung zum Pressen eines Tampons, insbesondere für die Frauenhygiene	RUGGLI PROJECTS AG	KUHN KURT
EP-1890968-A1	20080227	VERFAHREN ZUR REINIGUNG VON ABWÄSSERN AUS MELAMINANLAGEN	AMI AGROLINZ MELAMINE INTERNAT	NEUMUELLER CHRISTOPH,WALLEK THOMAS,RUECH WOLFGANG
EP-1038915-A1	20000927	Bor, Phosphor und Polymer enthaltende flammhemmende Zusammensetzungen	CIBA SPEZIALITAETENCHEMIE	LEMMER KARL-HEINZ,BRAUN REINHOLD,DERMEIK SALMAN DR
EP-0072898-A1	19830302	Fussgelenk zur Verbindung eines beweglichen Versorgungsturmes einer Off-Shore-Anlage mit einem Fundament.	MASCHF AUGSBURG NUERNBERG AG	RANK WERNER
EP-0600324-A1	19940608	Verfahren zur Unterdruck-Herstellung bei einer Druckgiessmaschine.	MUELLER WEINGARTEN MASCHF	STUMMER FRIEDRICH DR-ING,SCHWAB WILFRIED
EP-0695520-A1	19960207	Haarbehandlungsgerät mit einem Infrarotstrahlerelement und einem Gebläse	WELLA AG	GULDEN STEFFEN,MATTINGER DETLEF,FERTIG WERNER,ANTHES PETER
EP-0889082-A1	19990107	Verfahren zur Herstellung von Polyurethan-Hartschaumstoffen mit geringer Wärmeleitfähigkeit	BASF AG	GLUECK GUISCARD DR,VOLKERT OTTO DR,HAHN KLAUS DR,ROTERMUND UDO DR
EP-1797801-A1	20070620	Vorrichtung zum Zuführen von Milch	WMF WUERTTEMBERG METALLWAREN	BOCKWOLDT PETER,STARTZ ARMIN
EP-1844216-A1	20071017	VERSTELLBARE NOCKENWELLE, INSBESONDERE F]R VERBRENNUNGSMOTOREN VON KRAFTFAHRZEUGEN, MIT EINER HYDRAULISCHEN STELLEINRICHTUNG	MAHLE INT GMBH	SCHNEIDER FALK
EP-1901934-A1	20080326	LUFTFEDERUNGSANLAGE FÜR EIN KRAFTFAHRZEUG	CONTINENTAL AG	STILLER ALEXANDER,GROTENDORST JOERG,REHRA GUENTER,RABE DIRK-HEINRICH
EP-1788219-A1	20070523	Schaltbare zweistufige Abgasturboladeranordnung für eine Brennkraftmaschine	BAYERISCHE MOTOREN WERKE AG	WIMMER RUDOLF,JURSITZKY CHRISTIAN
EP-1285866-A1	20030226	Regallager für quaderförmige Behälter, insbesondere Standardkisten	KHT KOMMISSIONER UND HANDHABUN	VON SCHNEIDEMESSER CHRISTIAN
EP-0170049-A1	19860205	Verriegelung einer Klappschute.	DEGGENDORFER WERFT EISENBAU	WEISS ISIDOR
EP-1656532-A1	20060517	VORRICHTUNG ZUM AUSTAUSCH VON WÄRME	BEHR GMBH & CO KG	FOERSTER UWE,WOELK GERRIT,MOLT KURT
EP-0230531-A1	19870805	Heuwerbungsmaschine.	FELLA WERKE GMBH	KOHL BERNHARD,PUERRER JOSEF
EP-1625904-A1	20060215	Heizvorrichtung zum Erwärmen beziehungsweise Warmhalten von Flüssigkeiten	VAW IMCO GUSS UND RECYCLING GM	SCHARF-BERGMANN ROLAND
EP-0601152-A1	19940615	OSTEOSYNTHESEHILFSMITTEL FÜR DIE FIXATION VON KNOCHEN.	PENNIG DIETMAR	PENNIG DIETMAR DR MED
EP-1498170-A1	20050119	Zwei-Lagen Synthetik-Filterelement	SANDLER AG	
EP-0074070-A1	19830316	Harnstoffderivate, Verfahren zu ihrer Herstellung und diese enthaltende Medikamente sowie deren Verwendung.		
EP-1660360-A1	20060531	VERFAHREN ZUM BETREIBEN EINER SENSORVORRICHTUNG ZUR DETEKTION VON STÖREINFLÜSSEN AUF DER AUSSENSEITE EINES OPTISCH DURCHLÄSSIGEN KÖRPERS	VALEO SCHALTER & SENSOREN GMBH	SCHULER THOMAS,SCHUHMACHER TOBIAS
EP-0744184-A1	19961127	Behälter für ein Gas bei einem Beatmungs/Narkosesystem	SIEMENS ELEMA AB	PSAROS GEORGIUS
EP-1099118-A1	20010516	VERFAHREN ZUR BESTIMMUNG SEHR KLEINER KAPAZITÄTEN UND VERWENDUNG	MICRONAS MUNICH GMBH	WILLER JOSEF,VON BASSE PAUL-WERNER
EP-1613899-A1	20060111	R CKK HLANLAGE	RITTAL GMBH & CO KG	MUELLER ANDREAS,HINDER HENNO
EP-0952902-A1	19991103	DREHWERKZEUG-SYSTEM	HAHN WILLI GMBH	LAUSTER PETER,HABERSTROH HARDY,GRILL OLIVER
EP-1575720-A1	20050921	VERFAHREN UND VORRICHTUNG ZUM HERAUSLÖSEN UND VEREINZELN VON ABGELÄNGTEN, MAGNETISIERBAREN STAHLDRÄHTEN AUS EINEM DRAHTVORRAT	EVG ENTWICKLUNG VERWERT GES	RITTER KLAUS
EP-1157603-A1	20011128	Vorrichtung zum Umhüllen eines Rundballens	DEERE & CO	LUCAND PHILIPPE,HUCHET PIERRE-PHILIPPE
EP-1477443-A1	20041117	Rollenwechsler	KOENIG & BAUER AG	LEHRIEDER ERWIN,MEZGER FRANZ
EP-1460339-A1	20040922	Gasturbine	SIEMENS AG	MILLER SEAN,TIEMANN PETER
EP-1660588-A1	20060531	FORMKÖRPER UND VERFAHREN ZU IHRER HERSTELLUNG	WIELAND HOLGER	WIELAND HOLGER
EP-1293154-A1	20030319	Vorrichtung zum Warmhalten und Transportieren von Speisen mittels eines Motorfahrzeuges	DELZANNO LORENZO	DELZANNO ROBERTO,DELZANNO LORENZO
EP-1880690-A1	20080123	Dentales Implantatsystemteil mit einer Beschichtung	HERAEUS KULZER GMBH	MARTINOVIC SANDRA DR,KUEHN KLAUS-DIETER DR,VOGT SEBASTIAN DR
EP-1398510-A1	20040317	Nasslaufkreiselpumpenaggregat	GRUNDFOS AS	LAURSEN PIA STENHOLT,KJAER OLUF
EP-0342606-A1	19891123	Elektrische Maschine.	MAGNET MOTOR GMBH	GRUNDL ANDREAS DR,HEIDELBERG GOTZ DIPL-PHYS,EHRHART PETER DR
EP-1536156-A1	20050601	Reibpaarungen für Feststellbremsen in Kraftfahrzeugen	SGL CARBON AG	KRUPKA MARIO,ROSENLOECHER JENS
EP-0281047-A1	19880907	Mittelohr-Prothese.	FLEISCHER GERALD	FLEISCHER GERALD PROF DR
EP-1138559-A1	20011004	Verwendung eines Auslöseschalters für ein Personenschutzsystem	VOLKSWAGEN AG	SCHWANT WILFRIED
EP-0665788-A1	19950809	MIKROKAPSELN ENTHALTENDE DRUCKFARBEN FÜR DEN BUCH- ODER OFFSETDRUCK.	BASF AG	EGEA WILSON,MOLINA I CARLOS,MOLINA SALAZAR AMPARO
EP-1099501-A1	20010516	Hochgeschwindigkeitsschere zum Querteilen von Walzband	SMS DEMAG AG	GRAFE HORST,MERZ JUERGEN
EP-1392807-A1	20040303	REINIGUNGSVERFAHREN ZUR STÄRKEENTFERNUNG	ECOLAB INC	STROTHOFF WERNER,MAIER HELMUT
EP-0981435-A1	20000301	KLEBEVERBINDUNG	SIEMENS AG	HEINEMANN ERIK,HENN RALF,PUESCHNER FRANK
EP-1388732-A1	20040211	Verfahren zur Bestimmung des Massenträgheitsmomentes eines elektromotorischen Antriebssystems	HEIDENHAIN GMBH DR JOHANNES	KELLNER EUGEN,KERNER NORBERT
EP-0706473-A1	19960417	VERFAHREN ZUM ABDICHTEN VON BEHÄLTERN AUS GLAS ODER DERGLEICHEN UND AUF DER MÜNDUNG DER BEHÄLTERÖFFNUNG HAFTENDE DICHTSCHEIBEN	ALFELDER KUNSTSTOFFW MEYER H	TROMBACH HORST,WIENING HEINZ-RUDOLF
EP-1604751-A1	20051214	Stanzeinrichtung und Stanzstempel für diese	GROZ BECKERT KG	HALAMODA HANS-JOACHIM,BEERHALTER SIEGFRIED
EP-1036033-A1	20000920	KATIONISCHE SCHICHTVERBINDUNGEN, VERFAHREN ZUR HERSTELLUNG DIESER VERBINDUNGEN UND IHRE VERWENDUNG	COGNIS DEUTSCHLAND GMBH	WEDL PETER,DAUTE PETER,LANGE ILONA,KUEPPER STEFAN,FOELL JUERGEN,KLAMANN JOERG-DIETER
EP-0304597-A1	19890301	Verfahren zur selbsttätigen Bahnlaufregelung eines Filterbandes und Anwendung des Verfahrens bei einem Plattenfilter.	TENAG AG	HUDSON JOHN H
EP-1275811-A1	20030115	Feuerschutztor	EFFERTZ TORE GMBH	SCHWENZER CLAUS DR-ING
EP-0463357-A1	19920102	Bisstilbenverbindungen.	BAYER AG	ARLT DIETER PROF DR,BADER AXEL,SENG FLORIN
EP-1385418-A1	20040204	ANORDNUNG ZUM ÜBERWACHEN EINES PATIENTEN	CARDIOSAFE INTERNAT AG	ZUEND GREGOR,CARLSON SVEN-ERIK
EP-0322364-A1	19890628	Mehrschichtige Kunststoffolie.	ALMA SA	PETER MARIO,GRAMIGER ERICH
EP-1834942-A1	20070919	Verfahren zur Herstellung von längerkettigen Polyalkylenglykoldiethern	CLARIANT INT LTD	STANKOWIAK ACHIM DR,SNELL ALEXANDER DR
EP-0858723-A1	19980819	UBERLAGERUNGSZUNDGERAT	BAG TURGI	MOSER BEAT,WEDDING HANS,ZWEIFEL JAKOB
EP-0178627-A1	19860423	Verfahren zur Herstellung von Gegenständen aus Filterpapier.	BENTZ & SOHN MELITTA	SCHMIDT HEINRICH
EP-1096344-A1	20010502	Verfahren und Vorrichtung zur einheitlichen Ansteuerung von Endgeräten	TLC TRANSP INFORMATIK U LOGIST	DREKE DETLEF,STRAUSS BURKHARDT
EP-1183094-A1	20020306	VERFAHREN ZUR HERSTELLUNG EINER WASSER-IN-DIESELÖL-EMULSION ALS KRAFTSTOFF SOWIE DESSEN VERWENDUNGEN	INST MIKROTECHNIK MAINZ GMBH	EHRFELD WOLFGANG,SCHIEWE JOERG,HESSEL VOLKER
EP-1591609-A1	20051102	Sicherheitsleiste als Schaltleiste	HAAKE ANDRE	HAAKE ANDRE,HAAKE PATRICK,HAAKE OLIVER
EP-0478733-A1	19920408	IN DER HÖHE VERSTELLBARE SCHACHTABDECKUNG.	KOFEL FERDINAND	KOFEL FERDINAND
EP-1204375-A1	20020515	AKTIVER STRUKTURREADER	SONEM GMBH	GRASSMANN JANET,GLASER ECKARD,WROBEL MIROSLAW
EP-1076876-A1	20010221	VORRICHTUNG ZUR KONTAKTLOSEN ÜBERTRAGUNG VON DATEN	INFINEON TECHNOLOGIES AG	GAUL LORENZ,HAERING MARTIN
EP-1620619-A1	20060201	KRAFTFAHRZEUGTÜRVERSCHLUSS	KIEKERT AG	GRAUTE LUDGER
EP-0942904-A1	19990922	3-THIOCARBAMOYLPYRAZOL-DERIVATE ALS PESTIZIDEN	BAYER AG	MARHOLD ALBRECHT,TURBERG ANDREAS,LUI NORBERT,ALIG BERND,BIELEFELDT DIETMAR,MENCKE NORBERT,BERTSCH ACHIM,ANDERSCH WOLFRAM,ERDELEN CHRISTOPH
EP-1707569-A1	20061004	Verfahren zur Herstellung von Methylchlorsilanen	WACKER CHEMIE AG	GROSS JOCHEN,KALCHAUER WILFRIED DR
EP-0718439-A1	19960626	Rasenwabenplatte	KIENLE ALEXANDER	PRESTELE EUGEN
EP-1543387-A1	20050622	REGELVORRICHTUNG UND VERFAHREN ZUM BETRIEB DER REGELVORRICHTUNG	AUSTRIAMICROSYSTEMS AG	STEELE COLIN,RIEDMUELLER KURT,OBERHOFFNER GERHARD
EP-1073570-A1	20010207	VERFAHREN ZUM VERKÜRZEN DES BREMSWEGES	CONTINENTAL TEVES AG & CO OHG	BERTHOLD THOMAS,TIELEMAN ERWIN,ECKERT ALFRED
EP-0496950-A1	19920805	Zielgerät für ein Implantat zur Versorgung trochanterer und subtrochanterer Frakturen.	HOWMEDICA GMBH	BEHRENS KLAUS FRIEDRICH ADOLF
EP-1502060-A1	20050202	WÄRMETAUSCHER FÜR EIN KÄLTEGERÄT UND VERFAHREN ZUR HERSTELLUNG EINES WÄRMETAUSCHERS	BSH BOSCH SIEMENS HAUSGERAETE	KUSNIK THORSTEN,PFLOMM BERTHOLD,CIESLIK DETLEF
EP-1101362-A1	20010523	VORRICHTUNG ZUR PROJEKTION EINES FARBBILDS	DAIMLER CHRYSLER AG	JORKE HELMUT
EP-1927334-A1	20080604	Kits, deren Herstellung und Verfahren zur aufhellenden Beschichtung von Zähnen	HERAEUS KULZER GMBH	MAETZIG CHRISTOPH DR,HOFFMANN MARCUS DR,BUSCH SUSANNE DR,UTTERODT ANDREAS DR
EP-0799385-A1	19971008	VORRICHTUNG ZUR BEGRENZUNG DES VOLUMENSTROMS EINES UNTER DRUCK STEHENDEN FLUIDES	SIEMENS AG	MESETH JOHANN
EP-1424728-A1	20040602	Leistungshalbleitermodul	ABB RESEARCH LTD	KESER HELMUT,KNAPP WOLFGANG
EP-1809587-A1	20070725	VERFAHREN ZUR KATALYTISCHEN DEHYDRIERUNG VON PROPAN ZU PROPYLEN	UHDE GMBH	HEINRITZ-ADRIAN MAX
EP-1010931-A1	20000621	Lösbare Verbindung von rotationssymmetrischen Bauteilen	SCHLEMENAT ALFRED	SCHLEMENAT ALFRED
EP-0625069-A1	19941123	VERFAHREN ZUR HERSTELLUNG VON MIKROKAPSELN.	SANOL ARZNEI SCHWARZ GMBH	GANDER BRUNO,MERKLE HANS PETER
EP-0178295-A1	19860416	Trommelbremse.	RINNER JOSEF ACHSENFAB	JOSEF RINNER KG ACHSENFABRIK
EP-0828523-A1	19980318	TRANSDERMALES THERAPEUTISCHES SYSTEM MIT DRUCKFARBENFREIER IDENTIFIKATION UND VERFAHREN ZU SEINER HERSTELLUNG	HORSTMANN MICHAEL	HORSTMANN MICHAEL,STEINBORN PETER
EP-1129150-A1	20010905	ANORDNUNG AUF BASIS VON POLY-(3,4-DIOXYTHIOPHEN)-DERIVATEN, DIE MIT PROTONEN ELEKTROCHROM GESCHALTET WERDEN	BAYER AG	HEUER HELMUT-WERNER,WEHRMANN ROLF
EP-1690983-A1	20060816	Schutzplankenanordnung	VOLKMANN & ROSSBACH GMBH & CO	VOLKMANN GERHARD
EP-0259640-A1	19880316	Gefrierverdampfung.	SULZER AG	EHRSAM CHRISTIAN DR
EP-1098738-A1	20010516	NAGELVORRICHTUNG FÜR GEGURTETE NÄGEL	LEITNER HELMUT	LEITNER HELMUT
EP-1140099-A1	20011010	VERWENDUNG VON 2-SUBSTITUIERTEN 1,2-BENZISOTHIAZOL-DERIVATEN UND VON 3-SUBSTITUIERTEN TETRAHYDROPYRIDOPYRIMIDINON-DERIVATEN ZUR PROPHYLAXE UND THERAPIE DER ZEREBRALEN ISCHÄMIE	BASF AG	SZABO LASZLO,LUBISCH WILFRIED,UNGER LILIANE,HOLZENKAMP UTA,STARCK DOROTHEA,EMLING FRANZ,SCHELLHAAS KURT,STEINER GERD,HOFMANN HANS-PETER,GARCIA-LADONA FRANCISCO JAVIER
EP-1194910-A1	20020410	STRASSENVERKEHRSLEITSYSTEM FÜR GEFAHRENSTRECKEN, INSBESONDERE TUNNELS, SOWIE LICHTSIGNALMITTEL	GERHAHER CHRISTIANE	GERHAHER MAX
EP-1597511-A1	20051123	LÄNGENVARIABLE SCHUTZABDECKUNG	HEMA MASCHINEN UND APP SCHUTZ	WALTER DIETER,WALTER STEFFEN
EP-0162270-A1	19851127	Verfahren zur Durchschalteprüfung eines Raummultiplex-Koppelnetzes.	SIEMENS AG	KNORPP EBERHARD DIPL-ING,TRUMPP GERHARD DIPL-ING,BINZ REINER DIPL-ING
EP-1299039-A1	20030409	HOCHDRUCKFLÜSSIGKEITSSTRAHLEINRICHTUNG MIT EINEM FLÜSSIGEN MEDIKAMENT	ANDREAS PEIN MEDIZINTECHNIK GM	KOECKERLING FERDINAND
EP-0396797-A1	19901114	Verfahren und Vorrichtung zum Bruchtrennen von Pleueln.	KESSLER KG MASCHF	FAUSER NIKOLAUS,HAEHNEL MICHAEL DIPL-ING,MIESSEN WALTER DR-ING
EP-0419893-A1	19910403	Lager- und Transportsystem.	ROBOTECH LOGISTIIKSYSTEME GES	VOLGGER OTMAR DR,PILLON HANNES DR
EP-1330321-A1	20030730	VERFAHREN UND VORRICHTUNG ZUM STRANGGIESSEN UND ANSCHLIESSENDEM VERFORMEN EINES GIESSSTRANGES AUS STAHL, INSBESONDERE EINES GIESSSTRANGES MIT BLOCKFORMAT ODER VORPROFIL-FORMAT	SMS DEMAG AG	ZAJBER ADOLF,FEST THOMAS
EP-1028289-A1	20000816	Temperatur-Regeleinrichtung für Backöfen mit mehreren Heizsystem	SIEBE APPLIANCE CONTROLS GMBH	ANDERS KLAUS
EP-0611912-A1	19940824	Verfahren und Anschlussvorrichtung zum Anschliessen einer Abzweigleitung an eine fluidführende Hauptleitung.	RHEINAUER MASCH ARMATUREN	ALMERT ADAM ING
EP-0854753-A1	19980729	VORRICHTUNG ZUM ZERKLEINERN FESTER MATERIALIEN	KEMA GMBH MASCHINEN UMWELTTECH	SEYLBERG HANS-PETER VAN DER,KUNZE WOLFRAM
EP-1338711-A1	20030827	Befestigungsvorrichtung für wandhängende Objekte	FISCHER ARTUR WERKE GMBH	MARZOLLA STEFANO,BUSO GIULIANO
EP-1306650-A1	20030502	Wegaufnehmervorrichtung	BALLUFF GMBH	KURZ MARTIN,SPRINGER ROLAND,ECKEL GERD,HOFFMANN MICHAEL,EBERLE HANSJUERGEN,HOLDER ROLAND,ROTH WALTER
EP-0611916-A1	19940824	Leuchte für Mikrowellenöfen.	BOSCH SIEMENS HAUSGERAETE	MAIER THOMAS,SCHULTE MARTIN DIPL-ING,MALLINGER PETER DIPL-ING FH,BOSOLD KARL RICHARD DIPL-PHYS
EP-1510685-A1	20050302	Heizeinrichtung für ein zu beheizendes Medium	DAVID & BAADER DBKSPEZIALFABRI	PRONER MATHIAS DIPL-ING,MEITINGER KARLHEINZ
EP-0802922-A1	19971029	AMINOSÄUREDERIVATE, VERFAHREN ZU IHRER HERSTELLUNG UND DIESE ENTHALTENDE PHARMAZEUTISCHE ZUSAMMENSETZUNGEN	BOEHRINGER INGELHEIM INT	JUNG BIRGIT,SPECK GEORG,SCHNORRENBERG GERD,BUERGER ERICH,ESSER FRANZ,DOLLINGER HORST
EP-1817803-A1	20070815	KONTAKTIERUNG VON VIELSCHICHT-PIEZOAKTOREN BZW. -SENSOREN	SIEMENS AG	MAGORI ERHARD,KASPAR MICHAEL,WEINKE ROBERT
EP-1036204-A1	20000920	BESCHICKUNGSEINRICHTUNG FÜR ELEKTRO-SCHACHTÖFEN MIT ELEKTRODENAUFNEHMENDEM ZENTRALROHR	SMS DEMAG AG	LEMKE JOACHIM,SCHUERING ANDREAS,SCHMALE KLAUS,GRUND GUIDO
EP-0082213-A1	19830629	Dacheindeckung oder Wandverkleidung.	STRAUB THEODOR	STRAUB THEODOR
